sourcemac;timestamp;x_m;y_m;z_m;eta
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:58:15;9.95240606346;75.5869524197;5.99707669584;-48.3144519762
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:58:30;-20.8329333523;92.4012782688;-4.16666314635;-45.761153968
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:58:45;-67.4172599894;104.416587926;-39.5526454707;-38.4261448854
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:59:00;-60.6410573657;84.9441102055;6.69849008973;-46.0388293246
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:59:15;-24.6514042637;97.2106087406;-22.3135223544;-45.2971694753
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:59:30;-53.0403403968;95.61060823;-5.06486141335;-55.6734281604
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:00:00;-41.6995331442;98.7160342494;24.8769337658;-56.7453131141
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:00:45;-16.0832184773;87.8585017536;12.772187568;-65.6352612925
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:01:45;13.607824925;100.865575212;9.91902089531;-52.3308172231
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:02:00;-31.5315942303;104.412324783;17.2535850607;-57.07683337
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:02:15;-29.8924458406;104.655001698;15.452801738;-55.9254271678
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:02:30;-42.1752404326;96.5163322692;20.8628703153;-53.4890954446
